subject_id,gender,height,weight,thigh,calf,arm,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
sizkorea_m369,M,174.3,63.8,52.1,33.6,29.4,30.599999999999994,,,,,,
sizkorea_m385,M,160.4,57.2,48.7,35.9,27.9,26.60000000000001,,,,,,
sizkorea_m404,M,174.7,83.7,60.2,41.2,33.6,29.099999999999994,,,,,,
sizkorea_m406,M,162.3,74.4,54.3,36.9,31.9,24.5,,,,,,
sizkorea_m407,M,171.2,68.1,93.1,36.9,31.9,29.40000000000001,,,,,,
sizkorea_m412,M,176.8,77.6,58.2,40.5,33.1,30.700000000000003,,,,,,
sizkorea_m417,M,154.7,59.0,48.7,33.5,26.8,25.7,,,,,,
sizkorea_m419,M,171.4,68.7,48.7,36.9,29.2,26.200000000000003,,,,,,
sizkorea_m424,M,167.3,65.5,50.2,32.4,31.4,26.90000000000001,,,,,,
sizkorea_m454,M,159.9,54.0,48.4,33.2,28.0,29.0,,,,,,
sizkorea_m456,M,161.8,54.6,44.4,30.8,26.2,26.2,,,,,,
sizkorea_m460,M,175.2,65.6,48.0,35.6,27.6,29.8,,,,,,
sizkorea_m463,M,162.1,46.9,39.5,30.5,25.0,28.8,,,,,,
sizkorea_m465,M,159.5,66.7,49.8,34.8,29.1,24.5,,,,,,
sizkorea_m468,M,168.8,80.9,63.7,39.6,35.9,27.999999999999996,,,,,,
sizkorea_m470,M,170.5,56.0,47.6,32.9,28.5,34.3,,,,,,
sizkorea_m472,M,177.2,73.9,53.3,37.0,29.5,32.7,,,,,,
sizkorea_m476,M,165.4,65.9,53.4,35.5,30.2,31.099999999999994,,,,,,
sizkorea_m481,M,159.9,64.3,53.3,35.8,28.8,29.0,,,,,,
sizkorea_m497,M,157.4,63.9,54.0,35.0,29.9,25.300000000000004,,,,,,
