subject_id,gender,height,weight,thigh_length,calf_length,torso_length,leg_length,neck_length,chest,waist,hip,thigh,calf,arm,shoulder,thigh_calf_ratio,torso_leg_ratio
M072,M,159.8,66.2,30.500000000000007,38.4,43.60000000000001,68.9,7.5,88.8,83.5,92.6,55.1,38.7,31.1,37.3,0.7942708333333336,0.632801161103048
M076,M,159.6,69.2,29.500000000000007,35.4,44.5,64.9,7.699999999999989,93.5,82.8,97.5,58.0,37.0,33.5,36.3,0.8333333333333336,0.6856702619414483
M077,M,171.1,56.9,29.199999999999996,45.1,47.000000000000014,74.3,6.5,83.8,71.0,86.4,47.4,34.1,26.4,38.4,0.6474501108647449,0.6325706594885601
M083,M,166.2,64.5,30.700000000000003,42.7,44.7,73.4,6.200000000000003,89.3,73.2,90.0,52.3,35.5,32.3,41.3,0.7189695550351288,0.608991825613079
M084,M,169.5,62.2,31.000000000000007,42.6,43.7,73.60000000000001,7.599999999999994,89.4,70.7,91.0,52.6,34.0,30.8,40.4,0.7276995305164321,0.59375
M086,M,174.0,55.8,32.60000000000001,45.099999999999994,44.79999999999998,77.7,6.500000000000014,85.9,61.7,85.3,47.0,35.9,25.9,41.1,0.7228381374722841,0.5765765765765763
M088,M,159.7,74.0,29.19999999999999,39.0,39.400000000000006,68.19999999999999,9.099999999999994,98.6,89.0,97.4,59.1,37.0,35.4,42.0,0.7487179487179484,0.5777126099706746
M090,M,174.0,85.6,31.200000000000003,43.3,38.7,74.5,12.299999999999983,99.2,91.0,99.0,61.3,41.0,34.5,43.3,0.7205542725173212,0.5194630872483221
M093,M,165.2,63.6,30.5,41.5,44.900000000000006,72.0,6.0,91.1,81.0,87.5,48.4,34.0,31.5,40.6,0.7349397590361446,0.6236111111111112
M094,M,163.79999999999998,68.4,29.800000000000004,40.300000000000004,44.599999999999994,70.10000000000001,1.8999999999999915,95.2,82.9,92.8,55.7,37.5,30.5,36.6,0.739454094292804,0.63623395149786
M095,M,170.0,65.8,29.400000000000006,42.7,45.3,72.10000000000001,7.299999999999997,91.8,81.2,87.0,50.5,35.9,28.1,41.4,0.6885245901639345,0.6282940360610262
M099,M,171.1,53.4,31.900000000000006,39.5,45.5,71.4,8.500000000000014,81.3,61.3,85.0,47.5,33.3,26.4,39.8,0.807594936708861,0.6372549019607843
M116,M,169.4,73.8,30.500000000000007,45.199999999999996,43.0,75.7,6.90000000000002,95.5,85.8,95.8,58.3,37.9,31.9,41.4,0.6747787610619471,0.5680317040951123
M119,M,162.79999999999998,68.4,29.39999999999999,42.400000000000006,42.900000000000006,71.8,3.1999999999999744,98.1,73.1,92.0,59.8,37.1,34.7,41.6,0.693396226415094,0.5974930362116992
M120,M,162.39999999999998,76.4,33.00000000000001,37.1,42.89999999999999,70.10000000000001,8.299999999999983,97.4,99.8,97.6,58.2,35.8,33.6,38.2,0.8894878706199463,0.6119828815977173
