subject_id,gender,height_mm,weight_kg,shoulder_mm,chest_mm,waist_mm,hip_mm,jaw_height_mm,front_neck_height_mm,crotch_height_mm,knee_height_mm,ankle_height_mm,torso_shoulder_height_mm,pelvis_point_height_mm,leg_crotch_height_mm,leg_ankle_height_mm
8_SM_001451,F,1710,51.8,339.4,866.0,676,887,1485.4,1404.4,814.1,469.5,68.6,1369.0,932,792,65
8_SM_001452,F,1578,46.0,338.0,769.0,629,859,1344.0,1271.5,706.6,408.3,63.1,1261.0,817,681,57
8_SM_001453,F,1608,55.1,323.8,878.0,760,935,1381.5,1314.6,760.4,445.0,62.3,1338.0,881,751,62
8_SM_001454,F,1586,56.4,341.6,884.0,750,947,1375.5,1304.9,738.9,435.1,71.2,1297.0,864,731,65
8_SM_001455,F,1564,56.9,363.2,884.0,763,965,1335.5,1268.1,693.1,406.4,66.4,1248.0,817,685,56
8_SM_001456,F,1529,46.1,348.2,788.0,691,841,1314.0,1243.4,721.3,417.9,61.8,1232.0,828,708,56
8_SM_001457,F,1588,52.7,352.2,797.0,713,933,1359.7,1284.7,715.6,433.5,60.5,1288.0,827,707,57
8_SM_001458,F,1553,54.8,346.8,835.0,767,956,1332.9,1270.3,702.2,388.9,66.0,1265.0,806,676,59
8_SM_001459,F,1654,50.3,362.4,807.0,700,884,1423.3,1355.3,767.5,444.2,64.4,1349.0,888,757,60
8_SM_001460,F,1599,57.1,362.3,938.0,813,938,1372.9,1313.8,738.3,443.1,63.5,1301.0,865,736,60
8_SM_001461,F,1639,53.3,348.7,847.0,741,897,1409.9,1341.8,782.3,462.5,62.1,1347.0,902,761,57
8_SM_001462,F,1700,53.6,356.5,795.0,646,935,1456.6,1380.7,772.7,447.5,69.6,1374.0,908,769,65
8_SM_001463,F,1622,56.1,358.2,837.0,738,903,1401.3,1322.9,752.7,443.4,65.8,1307.0,869,736,57
8_SM_001464,F,1532,53.2,340.1,848.0,731,935,1314.9,1241.9,692.8,402.2,70.1,1226.0,792,670,63
8_SM_001465,F,1611,62.5,370.6,887.0,801,1003,1388.4,1322.9,759.6,449.3,73.7,1312.0,876,747,67
8_SM_001466,F,1616,59.8,357.1,858.0,761,992,1388.3,1310.9,729.6,430.3,63.2,1278.0,841,702,59
8_SM_001467,F,1523,45.7,341.7,785.0,631,882,1306.1,1241.1,703.6,417.4,62.2,1234.0,823,691,56
8_SM_001468,F,1589,56.4,367.6,888.0,706,935,1349.2,1272.5,712.4,418.7,61.8,1276.0,835,702,58
8_SM_001469,F,1644,56.6,351.3,880.0,747,914,1440.7,1407.5,783.3,451.9,72.8,1346.0,917,776,63
8_SM_001470,F,1531,48.6,356.0,812.0,665,875,1307.0,1240.9,739.0,429.5,68.1,1242.0,836,716,65
8_SM_001471,F,1586,47.6,359.5,795.0,656,852,1351.5,1289.2,752.0,448.6,58.4,1278.0,890,737,57
8_SM_001472,F,1717,54.9,347.0,801.0,679,957,1481.7,1390.8,781.2,447.7,68.8,1401.0,898,765,62
8_SM_001473,F,1626,72.6,366.9,972.0,834,1062,1403.3,1334.8,715.3,431.2,69.1,1332.0,864,711,66
8_SM_001474,F,1560,50.7,335.4,846.0,755,878,1343.5,1275.3,697.4,405.1,63.8,1263.0,832,692,59
8_SM_001475,F,1568,44.3,350.0,765.0,649,826,1348.4,1266.6,712.7,410.1,63.4,1248.0,810,694,60
8_SM_001476,F,1618,76.9,356.8,1028.0,879,1083,1371.4,1323.2,729.4,432.8,72.9,1322.0,870,719,65
8_SM_001477,F,1579,80.2,387.6,1070.0,922,1122,1342.9,1273.7,702.7,423.8,69.0,1259.0,839,701,62
8_SM_001478,F,1589,68.2,373.6,963.0,828,1042,1367.3,1302.5,714.1,418.6,61.1,1294.0,846,704,60
8_SM_001479,F,1634,51.8,346.1,776.0,653,896,1404.4,1325.7,746.2,424.2,64.9,1312.0,878,733,62
8_SM_001480,F,1682,65.4,339.3,900.0,747,960,1464.7,1380.0,797.4,464.7,76.47,1401.0,923,790,73
8_SM_001481,F,1580,50.4,333.2,812.0,701,870,1365.9,1299.6,713.7,408.9,66.0,1300.0,835,700,62
8_SM_001482,F,1647,50.9,344.8,772.0,657,913,1411.0,1335.7,763.0,446.2,65.1,1333.0,877,743,61
8_SM_001483,F,1571,46.5,338.4,781.0,663,869,1364.5,1284.6,731.1,424.8,63.5,1273.0,857,725,58
8_SM_001484,F,1537,47.1,332.3,808.0,632,881,1326.5,1264.6,691.7,411.1,61.2,1256.0,803,685,57
8_SM_001485,F,1655,67.2,345.7,902.0,814,1009,1431.9,1368.1,761.9,460.5,63.0,1347.0,898,768,64
8_SM_001486,F,1646,63.1,354.8,885.0,787,1010,1417.0,1349.4,733.1,428.9,68.0,1346.0,862,723,63
8_SM_001487,F,1540,46.6,342.0,782.0,608,895,1328.3,1269.3,718.9,420.7,63.4,1240.0,844,708,55
8_SM_001488,F,1662,72.3,381.3,976.0,792,1004,1443.5,1378.4,763.9,446.3,73.2,1365.0,903,756,65
8_SM_001489,F,1661,59.2,344.3,832.0,744,959,1427.2,1343.4,736.6,430.4,66.2,1326.0,855,733,62
8_SM_001490,F,1678,62.0,376.7,877.0,780,964,1472.8,1374.4,782.3,468.3,78.0,1372.0,913,757,70
8_SM_001491,F,1630,66.9,364.0,904.0,798,1022,1408.5,1342.0,758.9,444.9,71.0,1330.0,892,758,65
8_SM_001492,F,1581,53.8,349.9,863.0,710,920,1364.7,1291.0,735.1,427.5,61.2,1285.0,849,715,60
8_SM_001493,F,1587,58.0,357.2,906.0,789,915,1366.7,1299.5,726.6,437.4,69.1,1288.0,853,723,64
8_SM_001494,F,1536,42.7,341.2,748.0,598,842,1315.7,1246.5,672.9,388.6,63.2,1218.0,786,661,52
