source_row_id,subject_id,gender,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
1608,8_SM_001609,F,163.1,57.6,37.06,82.3,74.7,98.0,30.499999999999993,38.1,41.6,67.2,7.979999999999995,0.8005249343832019,0.6190476190476191
95,8_SM_000096,F,164.8,56.3,33.589999999999996,86.5,80.0,93.4,33.86,37.33,43.6,69.7,7.15,0.9070452718992768,0.6255380200860832
1176,8_SM_001177,F,167.8,60.7,37.769999999999996,88.6,76.5,97.7,35.18000000000001,39.95,44.7,72.4,6.3700000000000045,0.8806007509386734,0.6174033149171271
1432,8_SM_001433,F,160.5,56.0,33.29,86.1,75.5,91.9,29.5,37.86,46.5,66.0,5.240000000000009,0.7791864764923402,0.7045454545454546
4544,8_SM_004545,M,165.3,57.0,37.15,89.4,80.2,88.8,29.55,38.92,42.0,67.5,7.9,0.7592497430626927,0.6222222222222222
242,8_SM_000243,F,163.1,58.1,34.42,88.3,78.9,91.3,31.200000000000006,35.85,46.9,66.4,5.8,0.8702928870292889,0.7063253012048192
1330,8_SM_001331,F,167.9,76.5,37.88,97.0,85.7,106.0,32.42,37.9,44.2,69.6,7.569999999999982,0.8554089709762533,0.635057471264368
4427,8_SM_004428,M,165.4,67.1,37.31,94.0,85.2,94.0,29.7,36.44,48.6,65.6,6.35,0.8150384193194292,0.7408536585365855
1665,8_SM_001666,F,163.9,55.8,33.980000000000004,83.8,71.8,92.4,31.7,38.35,46.0,66.8,6.940000000000009,0.8265971316818774,0.688622754491018
3284,8_SM_003285,M,172.0,68.8,39.92,95.4,83.3,91.6,31.339999999999996,38.22,44.6,69.9,10.779999999999996,0.8199895342752485,0.6380543633762518
4145,8_SM_004146,M,162.6,65.0,39.54,93.3,85.7,93.4,30.950000000000006,34.95,47.4,65.0,7.790000000000009,0.8855507868383405,0.7292307692307692
1195,8_SM_001196,F,167.0,66.1,36.65,88.9,81.6,103.5,34.67,38.73,46.6,70.0,6.039999999999987,0.895171701523367,0.6657142857142857
1275,8_SM_001276,F,160.9,45.3,33.42,74.3,65.0,85.6,34.059999999999995,36.53,44.5,68.4,7.340000000000009,0.9323843416370106,0.6505847953216374
356,8_SM_000357,F,162.3,53.7,34.31,88.6,70.6,92.9,34.76,36.47,44.1,68.1,6.060000000000014,0.9531121469701124,0.6475770925110133
769,8_SM_000770,F,165.4,66.0,35.54,91.8,84.5,101.5,28.580000000000002,37.22,46.8,65.1,8.0,0.7678667383127351,0.7188940092165899
4077,8_SM_004078,M,175.3,77.1,40.730000000000004,97.1,93.7,98.9,33.33,38.760000000000005,47.6,71.4,6.4,0.8599071207430339,0.6666666666666666
292,8_SM_000293,F,156.9,73.2,33.42,103.7,95.4,103.3,30.609999999999996,32.92,48.2,62.4,4.979999999999995,0.9298298906439852,0.7724358974358975
4279,8_SM_004280,M,167.5,62.8,37.35,91.7,84.3,95.3,31.3,37.61,45.3,68.2,7.689999999999986,0.8322254719489498,0.6642228739002932
4209,8_SM_004210,M,167.6,59.0,39.38,86.8,81.0,88.6,33.309999999999995,37.04,42.6,70.2,8.64000000000001,0.8992980561555074,0.6068376068376068
4331,8_SM_004332,M,176.5,70.3,41.62,93.3,88.4,94.4,30.750000000000007,41.17,46.2,72.5,8.829999999999995,0.7469030847704641,0.6372413793103449
470,8_SM_000471,F,177.0,48.9,37.11,74.5,64.9,90.7,37.78,41.57000000000001,44.7,78.9,9.45999999999999,0.9088284820784218,0.5665399239543726
4162,8_SM_004163,M,167.5,85.2,39.1,102.3,101.2,105.7,27.890000000000004,38.13,48.2,66.2,6.679999999999995,0.7314450563860478,0.7280966767371602
4398,8_SM_004399,M,173.5,67.0,38.489999999999995,98.0,87.0,90.7,33.019999999999996,40.769999999999996,47.6,72.9,6.659999999999991,0.8099092469953397,0.6529492455418381
1171,8_SM_001172,F,150.2,47.2,35.79,81.1,66.8,89.4,30.840000000000003,32.96,43.3,60.6,6.659999999999991,0.9356796116504855,0.7145214521452145
4223,8_SM_004224,M,172.0,64.5,38.1,91.2,83.7,92.1,31.7,39.47,44.8,71.0,7.9100000000000135,0.8031416265518115,0.6309859154929577
3061,8_SM_003062,M,174.7,64.3,38.82,87.8,73.0,91.8,31.360000000000003,39.05,46.6,71.2,9.35,0.8030729833546736,0.6544943820224719
1055,8_SM_001056,F,170.0,82.2,37.519999999999996,103.6,90.5,106.0,31.580000000000005,38.83,47.1,70.0,6.279999999999996,0.8132886943085245,0.6728571428571429
29,8_SM_000030,F,156.5,45.9,32.1,78.0,71.5,90.0,29.679999999999996,37.05,42.6,64.4,6.209999999999991,0.8010796221322537,0.6614906832298136
3173,8_SM_003174,M,164.6,52.1,35.85,87.6,72.3,87.0,33.089999999999996,37.75,42.8,69.2,6.710000000000013,0.8765562913907283,0.6184971098265896
3660,8_SM_003661,M,169.2,63.6,39.730000000000004,91.4,79.5,94.4,30.26,38.660000000000004,45.2,68.7,8.879999999999995,0.7827211588204862,0.6579330422125182
2084,8_SM_002085,F,146.0,52.2,34.7,86.5,79.4,95.3,27.130000000000003,31.65,40.0,57.7,6.1200000000000045,0.8571879936808848,0.6932409012131715
3300,8_SM_003301,M,179.0,63.0,41.489999999999995,86.5,70.1,92.4,31.090000000000003,39.269999999999996,47.9,71.1,9.520000000000005,0.7916984975808506,0.6736990154711674
887,8_SM_000888,F,161.5,48.9,37.96,79.4,66.3,86.8,34.3,36.21,41.3,69.0,7.75,0.9472521402927367,0.5985507246376811
2198,8_SM_002199,F,142.1,52.3,32.6,89.1,81.1,90.6,25.48,28.85,40.5,54.3,5.65,0.8831889081455806,0.7458563535911603
179,8_SM_000180,F,163.5,48.6,33.81,77.4,71.0,91.3,33.779999999999994,35.910000000000004,44.8,67.9,5.960000000000013,0.9406850459482036,0.6597938144329896
3215,8_SM_003216,M,174.3,70.8,40.54,95.6,80.5,97.3,27.550000000000004,41.86,46.3,69.0,9.070000000000004,0.6581462016244626,0.6710144927536231
891,8_SM_000892,F,158.4,75.9,35.38,99.2,91.2,108.8,30.04,35.64,45.4,65.1,4.3399999999999865,0.8428731762065095,0.6973886328725039
2039,8_SM_002040,F,156.0,65.0,36.69,101.0,92.7,92.7,29.860000000000003,32.94,44.9,62.9,6.320000000000005,0.9064966605950214,0.7138314785373608
1804,8_SM_001805,F,160.6,48.7,35.37,79.3,67.8,90.2,32.16,35.88,41.5,66.5,7.4,0.8963210702341136,0.6240601503759399
4440,8_SM_004441,M,171.6,76.9,42.15,105.5,90.0,94.0,33.07,38.79,44.8,71.9,8.219999999999981,0.8525393142562516,0.623087621696801
4017,8_SM_004018,M,170.0,80.0,40.11,105.3,97.9,102.3,31.8,40.08,43.5,71.2,7.739999999999986,0.7934131736526947,0.6109550561797753
1610,8_SM_001611,F,163.9,53.4,34.39,84.8,72.5,92.0,33.92,37.510000000000005,43.5,70.2,7.659999999999991,0.9042921887496667,0.6196581196581197
3139,8_SM_003140,M,182.1,81.3,40.660000000000004,100.5,87.3,98.1,34.17999999999999,43.75000000000001,47.6,79.1,6.6199999999999815,0.7812571428571425,0.6017699115044248
2329,8_SM_002330,F,149.0,61.9,34.92,98.2,89.1,95.0,28.23,33.589999999999996,40.8,61.8,6.009999999999991,0.8404286990175649,0.6601941747572816
73,8_SM_000074,F,160.5,47.1,32.38,79.3,67.9,88.5,33.77,36.63,44.1,68.1,5.510000000000014,0.9219219219219219,0.6475770925110133
449,8_SM_000450,F,163.5,49.8,33.980000000000004,76.4,65.6,91.1,31.500000000000007,36.980000000000004,45.5,67.8,5.85,0.8518117901568416,0.6710914454277287
1551,8_SM_001552,F,160.0,64.4,36.71,91.6,77.4,98.0,28.52,36.7,43.7,65.3,6.35,0.7771117166212533,0.6692189892802451
2465,8_SM_002466,F,165.0,55.8,35.739999999999995,87.4,74.1,90.1,32.269999999999996,37.67,44.5,68.9,5.509999999999991,0.8566498539952215,0.6458635703918723
2629,8_SM_002630,M,176.5,85.8,44.39,102.4,93.9,107.7,32.529999999999994,41.440000000000005,46.3,72.9,8.54000000000001,0.7849903474903472,0.635116598079561
4409,8_SM_004410,M,169.3,69.1,40.83,94.8,77.3,95.1,29.559999999999995,35.75,45.6,65.0,7.5,0.8268531468531467,0.7015384615384616
30,8_SM_000031,F,156.4,51.9,37.010000000000005,86.9,70.2,94.7,30.279999999999994,33.79,41.4,61.9,9.190000000000008,0.896123113347144,0.6688206785137318
3687,8_SM_003688,M,183.6,81.0,41.7,102.4,85.3,99.6,35.98,44.25,44.5,80.2,8.529999999999996,0.8131073446327682,0.5548628428927681
1436,8_SM_001437,F,162.7,47.5,33.44,80.8,63.9,86.9,32.959999999999994,36.3,42.6,67.7,6.45,0.9079889807162533,0.6292466765140325
4514,8_SM_004515,M,159.6,66.5,36.11,94.4,91.4,97.3,26.639999999999997,36.92,38.9,63.2,7.179999999999995,0.7215601300108341,0.615506329113924
2236,8_SM_002237,F,147.1,55.6,31.639999999999997,88.9,82.0,93.4,26.660000000000004,32.85,43.1,58.8,6.1099999999999905,0.8115677321156775,0.7329931972789117
52,8_SM_000053,F,177.1,48.2,34.660000000000004,73.6,63.4,86.7,35.91,40.7,49.2,75.1,9.270000000000005,0.8823095823095821,0.6551264980026632
405,8_SM_000406,F,165.1,60.2,33.93,88.6,75.5,99.9,30.560000000000002,36.279999999999994,46.1,66.4,7.05,0.842337375964719,0.6942771084337349
1353,8_SM_001354,F,165.8,63.8,38.43,86.1,77.6,103.6,33.2,37.260000000000005,43.6,69.0,7.5,0.8910359634997316,0.6318840579710145
3367,8_SM_003368,M,164.0,58.8,40.32,90.7,75.6,87.8,27.629999999999995,38.1,41.1,65.9,8.090000000000009,0.7251968503937006,0.6236722306525038
